from,to,relationship,weight,year_beginning,year_end
abfo,jase,2,3,1968,1969
abfo,ropo,2,3,1968,1969
abfo,shta,2,3,1968,1969
abfo,wofr,5,3,1968,1969
adal,chma,1,1,1969,1971
adal,chwa,1,1,1969,1971
afbu,chma,5,3,2007,2015
alde,MF,99,99,99,99
alka,chma,2,2,99,99
alro,MF,99,99,1968,99
alsp,chwa,1,1,1969,1971
alsp,TS,99,99,99,99
alsp,MF,99,99,99,1969
arba,chma,1,1,1968,99
baho,chma,3,2,1969,99
baho,rumo,2,1,1968,1969
baho,rumo,2,1,1969,1969
baho,shco,2,3,1967,99
baho,MF,99,99,1968,1969
bamy,cagi,4,3,1949,99
baro,thwa,5,3,99,99
baro,MF,99,99,99,1969
baro,chma,2,2,99,99
BB,MF,99,99,99,99
bebe,dasm,2,2,99,99
becr,chma,1,1,1969,1969
becr,chwa,1,1,1969,1969
becr,luel,1,1,1969,1969
bete,chma,2,1,1971,1976
beun,chma,1,1,1971,1976
bibo,chwa,2,1,1974,99
biva,MF,99,99,99,1969
biva,chma,2,3,99,1969
biva,suat,2,2,99,1969
biva,dosh,3,3,99,1969
biva,maco,2,2,99,99
biva,divo,2,1,1969,1969
bobe,cash,1,1,99,99
brda,chma,2,3,99,99
brda,dosh,6,1,1969,1969
brda,gahi,6,2,1969,1969
brda,joha,2,2,1967,1969
brda,MF,99,99,1967,1969
brda,maco,2,2,99,1969
brha,MF,99,99,99,99
brha,suat,5,3,1967,1969
brle,ropo,2,1,1967,99
brlu,chma,1,1,99,99
brlu,dewi,2,3,99,99
brpo,MF,99,99,1968,1969
brwi,chma,1,1,1968,1969
brwi,dewi,4,3,99,99
cagi,bamy,4,1,1949,99
cagi,chma,2,3,1968,99
cagi,chwa,1,1,1968,99
cagi,daba,5,3,1970,99
cagi,joha,2,2,1967,1969
cagi,MF,99,99,1968,1969
cagi,maco,2,2,99,1969
cagi,bobe,2,2,1968,1969
calo,MF,99,99,99,99
cash,bobe,1,1,99,99
cash,chma,2,3,1969,1980
cash,chwa,2,3,1968,99
cash,leva,2,2,99,99
cash,lika,2,2,99,99
cash,MF,99,99,99,1969
chbe,MF,99,99,99,99
chgr,MF,99,99,99,99
chho,chma,1,1,99,99
chju,rowi,4,3,1955,1993
chlu,chma,4,3,1956,99
chlu,lest,4,3,1956,99
chma,adal,1,1,1969,1971
chma,afbu,5,3,2007,2015
chma,alka,2,2,99,99
chma,arba,1,1,1968,99
chma,baho,7,3,1969,99
chma,becr,3,1,1969,1969
chma,becr,7,2,99,99
chma,bete,2,1,1971,1976
chma,beun,1,1,1971,1976
chma,brda,2,3,99,99
chma,brlu,1,1,99,99
chma,brwi,1,1,1968,1969
chma,cagi,2,1,1968,99
chma,cash,2,1,1969,99
