id,name,type
bega,Dr. Bernd Gaiser,1
besu,Dr. Bertram Sugg,1
bhzstgt,bhz Stuttgart,0
bosch,Robert Bosch GmbH,0
cgerlingen,OFC Courage Gerlingen,0
conceptag,Concept AG,0
daimlerag,Mercedes-Benz,0
daimlerbank,Mercedes-Benz Bank,0
daimlervans,Mercedes-Benz Vans,0
drees,Drees & Sommer,0
frre,Franz Reiner,1
haje,Hartmut Jenner,1
heoh,Hermann Ohlicher,1
horvath,Horvath Partners,0
jako,Jako,0
kaercherfoerd,Alfred Kaercher Förderstiftung,0
kaercherse,Alfred Kaercher SE&Co.KG,0
krom,Krombacher,0
recaro,RECARO Holding GmbH,0
stgtulm,Stuttgart-Ulm e.V.,0
toto,Toto-Lotto-Gesellschaft,0
vfbauf,VfB Aufsichtsrat,0
vmm,VMM Consulting GmbH,0
waldbande,Waldbande e. V.,0
wipo,Wilfried Porth,1
wodi,Wolfgang Dietrich,1
